support,itemsets
0.15102,"frozenset({'nota10_hash=Medium', 'desplazado_hash=A', 'Dropout=No'})"
0.3959,"frozenset({'tipo_ingreso=NAP', 'desplazado_hash=A', 'Dropout=No'})"
0.4393,"frozenset({'total_n_wifi_days=Low', 'desplazado_hash=A', 'Dropout=No'})"
0.13762,"frozenset({'total_n_wifi_days=Medium', 'desplazado_hash=A', 'Dropout=No'})"
0.57784,"frozenset({'total_pft_assignment_submissions=Low', 'desplazado_hash=A', 'Dropout=No'})"
0.5771,"frozenset({'total_pft_events=Low', 'desplazado_hash=A', 'Dropout=No'})"
0.5776,"frozenset({'total_pft_visits=Low', 'desplazado_hash=A', 'Dropout=No'})"
0.57662,"frozenset({'desplazado_hash=A', 'Dropout=No', 'total_resource_events=Low'})"
0.12016,"frozenset({'estudios_m_hash=F', 'desplazado_hash=B', 'Dropout=No'})"
0.15436,"frozenset({'desplazado_hash=B', 'estudios_m_hash=L', 'Dropout=No'})"
0.07334,"frozenset({'desplazado_hash=B', 'estudios_m_hash=T', 'Dropout=No'})"
0.11696,"frozenset({'desplazado_hash=B', 'estudios_p_hash=F', 'Dropout=No'})"
0.13354,"frozenset({'desplazado_hash=B', 'estudios_p_hash=L', 'Dropout=No'})"
0.0913,"frozenset({'estudios_p_hash=T', 'desplazado_hash=B', 'Dropout=No'})"
